start_date,end_date,progress,duration_in_seconds,finished,recorded_date,iraq_fair_r,iraq_wealthy_privilege,iraq_angry,iraq_corrupt,iraq_happy_r,bailouts_fair_r,bailouts_wealthy_privilege,bailouts_angry,bailouts_corrupt,bailouts_happy_r,offshore_fair_r,offshore_wealthy_privilege,offshore_angry,offshore_corrupt,offshore_happy_r,covid_19_relief_fair_r,covid_19_relief_wealthy_privilege,covid_19_relief_angry,covid_19_relief_corrupt,covid_19_relief_happy_r,large_corps_fair_r,large_corps_wealthy_privilege,large_corps_angry,large_corps_corrupt,large_corps_happy_r,charity_fair_r,charity_wealthy_privilege,charity_angry,charity_corrupt,charity_happy_r,gov_response_overall_safe_r,gov_response_overall_suffering,gov_response_overall_concern_r,gov_response_overall_protect_jobs_r,gov_response_overall_generous_r,community_response_safe_r,community_response_suffering,community_response_concern_r,community_response_help_those_in_need_r,community_response_generous_r,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_elites_dishonest_r,idealism_elites_considerate,idealism_elites_good,idealism_elites_positive,idealism_elites_right,idealism_elites_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,pre_video_sympathy_blm,pre_video_anger_blm_r,pre_video_participate_blm_protests,pre_video_wish_participated,pre_video_wish_blue_r,pre_video_donations_support_blm,pre_video_donations_oppose_blm_r,pre_video_social_media_support_blm,pre_video_social_media_criticize_blm_r,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,post_video_sympathy_blm,post_video_anger_blm_r,post_video_plan_to_participate_blm_protests,post_video_wish_participate,post_video_wish_blue_r,post_video_donations_support_blm,post_video_donations_oppose_blm_r,post_video_social_media_support_blm,post_video_social_media_criticize_blm_r,effectiveness_of_blm_post,police_funding,tactic_looting,tactic_burn_stations,tactic_loud_chants,tactic_block_traffic,tactic_gathering,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race_ethnicity_origin,race_ethnicity_origin_text,age,pol_parties,pol_parties_text,community_description,gender,gender_text,catch_sky_color,income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,direct_connection_el,catch_distractions,catch_video_stream,catch_honesty,random_id,vid_time
2020-06-24T12:25:55Z,2020-06-24T12:35:00Z,100,545,1,2020-06-24T12:35:01Z,4,5,5,6,4,7,5,5,6,4,4,6,4,5,3,4,5,5,2,3,4,5,2,6,4,6,3,5,4,5,6,5,4,4,2,4,5,6,2,6,4,5,5,4,6,5,4,5,4,5,5,4,6,5,4,4,6,5,4,3,4,3,4,3,3,4,4,11.041,11.041,13.093,1,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,2,0,-1,0,2,0,-1,0,-1,4,3,2,2,3,4,4,3,4,5,31,4,6,2,3,3,-1,1,0,-1,1,-1,-1,0,0,0,-1,1,-1,1,-1,1,0,1,0,1,0,-1,-1,-1,0,0,-1,0,0,4,4,3,3,2,47,NA,32,2,NA,1,2,NA,3,6,7,4,3,4,3,1,1,1,569516,13.093
2020-06-24T12:25:26Z,2020-06-24T12:35:09Z,100,583,1,2020-06-24T12:35:09Z,1,7,6,7,1,3,5,5,5,5,4,7,2,3,4,2,6,5,3,2,3,7,5,5,3,4,3,3,3,4,1,7,1,1,1,4,4,4,4,4,2,4,4,5,5,4,5,2,2,2,2,2,2,5,5,5,5,5,5,2,1,5,1,2,1,3,1,90.487,90.487,106.706,1,2,2,2,2,-1,0,1,-1,2,2,2,2,2,2,2,1,1,1,1,1,-1,1,0,5,2,3,5,1,2,1,5,1,3,-21,1,1,6,2,2,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,0,-1,0,-1,4,4,4,2,3,47,NA,45,2,NA,2,1,NA,3,3,5,4,4,2,2,3,1,1,566084,106.706
2020-06-24T12:28:28Z,2020-06-24T12:35:27Z,100,418,1,2020-06-24T12:35:28Z,5,5,7,5,6,7,5,7,7,7,3,5,4,3,5,7,7,6,7,6,1,6,5,7,4,5,3,3,4,4,5,5,5,4,4,5,6,5,5,6,6,6,5,6,7,7,6,7,5,6,7,7,6,6,4,6,7,5,2,1,1,1,2,4,2,2,3,0,0,4.524,0,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,2,1,2,2,4,3,2,2,2,3,1,1,1,6,2,4,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,-1,-1,0,0,1,1,1,1,0,1,0,-1,1,3,2,3,3,3,37,NA,33,0,NA,4,2,NA,3,1,5,3,3,3,3,3,2,1,408005,4.524
2020-06-24T12:25:43Z,2020-06-24T12:35:32Z,100,588,1,2020-06-24T12:35:32Z,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,2,7,7,7,2,1,7,7,7,1,2,7,1,7,5,2,7,2,2,2,4,4,3,3,4,4,3,4,5,4,2,7,2,1,2,2,1,7,4,3,2,4,3,4,2,1,3,1,2,1,1,1,6.489,6.489,7.515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,1,1,1,2,1,3,-80,1,1,6,2,6,-1,1,-1,1,-1,-1,1,-1,1,0,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,5,5,2,3,2,7,NA,36,2,NA,1,2,NA,3,3,4,2,2,4,1,1,3,1,308466,7.515
2020-06-24T12:26:02Z,2020-06-24T12:35:42Z,100,579,1,2020-06-24T12:35:42Z,5,6,4,4,2,4,5,2,4,3,1,5,2,2,4,2,7,6,7,2,2,7,2,5,4,4,2,1,2,5,1,5,1,1,1,2,5,3,4,4,1,5,6,5,6,5,2,2,4,1,4,3,1,7,7,7,7,7,3,2,1,1,1,1,1,2,1,12.314,75.669,108.143,3,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,4,2,1,1,1,1,1,3,1,4,-20,1,1,4,2,2,0,1,-1,1,1,-1,1,1,1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,2,3,2,1,4,67,NA,50,0,NA,4,2,NA,3,11,7,1,1,1,1,3,1,1,849237,108.143
2020-06-24T12:27:38Z,2020-06-24T12:36:07Z,100,508,1,2020-06-24T12:36:07Z,1,4,4,4,1,4,6,4,6,4,1,6,3,3,2,4,1,2,2,3,2,6,5,6,1,5,1,1,1,6,2,6,2,2,2,2,6,2,4,4,2,4,5,5,5,5,3,4,4,4,4,3,5,2,2,2,2,2,5,1,3,3,3,2,1,3,1,7.619,8.659,105.001,2,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,1,1,1,1,1,1,1,1,5,1,3,3,1,3,1,3,1,2,-41,1,1,6,4,6,-1,1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,0,1,3,1,3,2,7,NA,44,2,NA,2,1,NA,3,8,5,3,5,1,1,3,1,1,880241,105.001
2020-06-24T12:25:38Z,2020-06-24T12:36:10Z,100,631,1,2020-06-24T12:36:10Z,1,3,7,6,1,1,7,7,7,1,1,4,7,6,1,7,1,1,1,7,1,7,4,6,1,7,1,1,1,6,1,6,3,1,4,7,2,7,7,7,1,6,6,7,6,7,7,1,1,1,1,1,3,4,5,4,6,7,1,3,1,1,1,1,1,1,1,0,0,92.46,0,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,-82,1,1,6,2,4,0,0,1,-1,-1,-1,1,1,1,1,1,0,0,1,-1,0,0,0,1,1,0,1,1,1,1,0,-1,0,1,4,2,1,1,3,7,NA,29,2,NA,4,1,NA,3,7,5,1,1,1,1,3,1,1,467175,92.46
2020-06-24T12:26:47Z,2020-06-24T12:36:14Z,100,567,1,2020-06-24T12:36:15Z,1,1,7,1,1,1,1,1,1,1,1,7,5,1,1,1,7,7,7,1,1,7,7,7,1,1,7,7,7,1,1,7,1,1,1,1,1,1,1,1,3,1,3,7,1,4,7,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,3,1,4,1,0.842,0.842,106.498,1,0,0,2,2,1,1,1,-1,2,2,2,2,2,2,0,0,1,1,1,1,2,1,2,5,1,4,5,1,3,1,4,1,3,-100,1,2,6,6,6,-1,1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0,1,1,0,-1,1,1,1,1,0,-1,1,-1,3,3,1,1,3,7,NA,43,2,NA,4,2,NA,3,11,5,2,2,1,1,3,1,1,683566,106.498
2020-06-24T12:25:35Z,2020-06-24T12:36:39Z,100,664,1,2020-06-24T12:36:40Z,1,6,1,6,1,3,1,1,1,3,1,4,1,1,1,7,1,1,1,7,5,3,2,2,3,7,1,1,1,7,5,3,6,6,6,7,2,7,7,7,1,7,7,7,7,7,1,7,7,7,7,7,1,7,7,7,7,7,5,1,1,1,1,1,1,1,1,7.996,7.996,102.468,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,0,1,1,6,2,4,-1,1,1,0,-1,-1,1,1,1,0,1,-1,-1,1,1,1,0,1,0,-1,-1,1,1,1,1,1,0,0,1,1,1,1,1,5,7,NA,36,0,NA,2,2,NA,3,6,5,2,2,2,1,3,1,1,579441,102.468
2020-06-24T12:25:35Z,2020-06-24T12:36:43Z,100,668,1,2020-06-24T12:36:43Z,1,3,3,6,1,1,7,7,7,1,1,6,5,6,1,1,7,6,7,3,2,5,3,5,2,2,2,1,1,5,3,6,1,1,1,5,2,5,7,6,2,6,5,4,6,5,4,1,1,1,1,1,2,3,3,3,4,3,2,3,1,1,1,1,1,1,3,8.15,8.15,105.972,1,-1,-1,0,0,-1,-1,1,-1,1,0,0,0,-1,-1,-1,1,1,1,1,1,-1,1,-1,3,1,1,1,1,1,1,1,2,1,-51,1,1,6,1,6,0,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,3,1,2,1,2,7,NA,35,4,NA,4,2,NA,3,3,5,1,1,1,1,3,1,1,495762,105.972
