start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,idealism_blm_good,idealism_blm_cooperate,idealism_blm_welcome_me,idealism_blm_better_country,idealism_btb_good,idealism_btb_cooperate,idealism_btb_welcome_me,idealism_btb_better_country,effectiveness_of_blm_pre,effectiveness_of_btb_pre,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_508_first_click,q_508_last_click,q_508_page_submit,q_508_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,bored,effectiveness_of_blm_post,effectiveness_of_btb_post,police_funding,blm_support,btb_support,blm_reputation,btb_reputation,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,sdo_r_group_welfare,sdo_against_group_equality,sdo_r_for_group_equality,sdo_group_domination,vote_influence_blm_support,vote_influence_btb_support,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time,idealism_community,idealism_police,idealism_blm,idealism_btb,idealism_all,positive_affect,elevation,somatic,prosocial_motives,folk_affect,conservativism_social,conservativism_military,conservativism_economic,conservativism_overall,sdo_composite,parties,major_parties,ethnicity_factor,ethnicity_binary,education_factor,education_bins,gender_factor,gender_two_factor
2020-12-18T15:11:40Z,2020-12-18T15:17:52Z,100,371,1,2020-12-18T15:17:52Z,1,7,7,7,7,7,1,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,0,0,99.715,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,3,1,1,1,1,1,-100,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,1,10,1,10,7,7,2,2,1,1,5,7,NA,60,0,NA,4,2,NA,3,1,5,1,1,1,3,1,1,698015,BLM,99.715,7,7,1,1,4.6,3,0,0,0,0,-0.2,0.16666666666666666,-0.42857142857142855,-0.10344827586206896,10,Independent,Independent,7,white,5,bachelors,male,male
2020-12-18T15:09:03Z,2020-12-18T15:17:59Z,100,536,1,2020-12-18T15:18:00Z,6,5,7,6,4,6,5,6,7,6,5,4,6,6,5,4,6,5,4,6,4,3,0,0,114.421,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,2,3,1,2,1,3,2,2,3,2,2,1,2,1,2,2,3,2,3,2,4,3,50,3,4,50,55,3,5,4,3,4,4,-1,-1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,-1,0,-1,1,1,-1,1,1,1,-1,1,-1,1,8,9,7,8,4,3,2,1,3,1,1,1,NA,31,2,NA,2,2,NA,3,5,5,3,4,3,3,1,1,791945,BLM,114.421,5,5.166666666666667,5.25,5.25,5.15,1.5,2.066666666666667,2,2,2.142857142857143,0.1,0.16666666666666666,0.5714285714285714,0.2413793103448276,6,Democrat,Democrat,1,non-white,5,bachelors,male,male
2020-12-18T15:10:33Z,2020-12-18T15:18:02Z,100,448,1,2020-12-18T15:18:02Z,3,5,5,5,5,5,4,4,4,3,4,4,6,6,4,6,4,4,4,3,3,2,0,0,100.521,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,0,0,1,1,1,1,1,2,1,1,1,0,0,1,0,1,0,1,0,3,2,-55,3,2,5,-5,2,3,3,3,4,3,1,0,1,1,-1,-1,1,1,1,-1,0,1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,8,2,8,2,2,1,3,2,2,1,1,7,NA,24,2,NA,4,2,NA,3,5,5,1,1,1,3,1,1,154237,BLM,100.521,5,3.8333333333333335,5.5,3.75,4.5,0.5,1.1333333333333333,0.5,1.75,1.1428571428571428,-0.8,0.25,0.2857142857142857,-0.10344827586206896,2.5,Democrat,Democrat,7,white,5,bachelors,male,male
2020-12-18T15:09:47Z,2020-12-18T15:18:09Z,100,501,1,2020-12-18T15:18:09Z,2,4,5,4,5,5,2,5,6,4,5,5,4,2,3,1,4,4,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.355,96.098,96.482,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,-25,1,1,0,0,1,1,1,1,2,2,0,-1,1,-1,1,-1,1,-1,1,0,1,0,0,0,0,0,-1,1,-1,1,-1,1,1,0,1,1,-1,-1,1,8,6,2,2,1,1,3,2,1,1,3,7,NA,29,0,NA,2,2,NA,3,5,3,2,2,1,3,1,1,121586,control,96.482,4.833333333333333,5.166666666666667,2.5,3.5,4.2,0.5,0,0,0,0,-0.5,0.08333333333333333,0.7142857142857143,0.034482758620689655,5,Independent,Independent,7,white,3,some_college,male,male
2020-12-18T15:11:01Z,2020-12-18T15:18:10Z,100,428,1,2020-12-18T15:18:10Z,2,6,6,6,6,6,2,6,6,7,6,6,6,6,6,5,6,4,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100.883,0,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2,3,0,1,0,0,0,0,0,4,2,25,4,2,40,0,2,4,4,4,5,3,-1,1,0,0,0,-1,1,1,1,1,1,-1,1,0,0,1,1,0,-1,0,1,1,1,1,1,0,-1,1,1,10,1,10,1,3,2,4,2,2,1,3,2,NA,42,0,NA,2,2,NA,3,11,7,5,4,3,3,1,1,696206,control,100.883,6,6.166666666666667,5.75,3.75,5.55,1.5,0.4666666666666667,0,0.5,0.7142857142857143,-0.6,-0.08333333333333333,-0.5714285714285714,-0.3793103448275862,1,Independent,Independent,2,non-white,7,advanced,male,male
2020-12-18T15:09:11Z,2020-12-18T15:18:10Z,100,539,1,2020-12-18T15:18:11Z,3,5,4,4,5,5,7,7,7,7,7,7,1,1,1,1,6,5,6,5,1,1,NA,NA,NA,NA,82.736,83.674,101.111,2,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,1,2,6,1,5,-77,16,1,2,1,1,1,NA,1,-1,0,-1,1,-1,1,0,1,1,-1,-1,1,0,-1,0,-1,-1,1,1,0,1,-1,-1,-1,1,0,0,0,7,6,5,2,1,4,3,4,2,3,2,7,NA,36,1,NA,4,1,NA,3,9,5,1,1,1,3,1,1,499497,BtB,101.111,4.666666666666667,6,1,5.5,4.5,1.5,1.7333333333333334,2,1,2,0.2,0.3333333333333333,0.14285714285714285,0.2413793103448276,4.5,Republican,Republican,7,white,5,bachelors,female,female
2020-12-18T15:09:37Z,2020-12-18T15:18:12Z,100,515,1,2020-12-18T15:18:12Z,5,5,5,5,5,5,2,5,5,4,5,5,6,4,4,6,3,4,5,3,4,2,0,0,100.455,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,0,0,0,0,2,1,1,2,1,1,2,1,0,0,0,0,1,0,2,0,4,2,-25,2,1,-20,40,1,1,1,1,3,1,1,1,-1,0,-1,-1,1,-1,1,-1,0,1,1,-1,-1,-1,0,1,1,1,0,1,1,1,1,0,-1,1,-1,10,2,10,2,1,1,4,3,3,1,1,7,NA,42,0,NA,2,2,NA,3,3,2,2,3,1,3,1,1,763382,BLM,100.455,4.666666666666667,5,5,3.75,4.65,0.25,1.1333333333333333,0,1.75,1.4285714285714286,-0.8,0,-0.5714285714285714,-0.41379310344827586,1.5,Independent,Independent,7,white,2,hs_less,male,male
2020-12-18T15:10:42Z,2020-12-18T15:18:17Z,100,454,1,2020-12-18T15:18:17Z,3,3,4,4,4,4,6,2,2,1,2,2,4,4,5,4,1,1,1,1,2,1,NA,NA,NA,NA,7.055,99.376,101.638,3,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,-15,2,1,0,0,1,1,1,1,3,1,-1,1,-1,1,-1,-1,1,1,1,-1,0,-1,-1,0,-1,1,1,0,0,-1,-1,1,1,1,1,0,-1,0,-1,10,1,10,1,1,1,1,3,1,2,1,7,NA,29,2,NA,1,2,NA,3,8,3,1,1,1,3,1,1,651484,BtB,101.638,4,1.8333333333333333,4.25,1,2.8,0.5,0.2,0,0.25,0.2857142857142857,-0.8,-0.75,-0.8571428571428571,-0.7931034482758621,1,Democrat,Democrat,7,white,3,some_college,male,male
2020-12-18T15:10:16Z,2020-12-18T15:18:18Z,100,482,1,2020-12-18T15:18:18Z,3,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,16.781,17.411,130.202,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,-20,1,2,0,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,6,5,5,3,1,1,5,4,5,4,1,7,NA,32,0,NA,2,2,NA,3,4,2,3,3,1,3,1,1,648963,BLM,130.202,5,3,2,3,3.4,0,0.26666666666666666,0,1,0,-0.4,-0.3333333333333333,1,-0.034482758620689655,4.75,Independent,Independent,7,white,2,hs_less,male,male
2020-12-18T15:09:06Z,2020-12-18T15:18:20Z,100,553,1,2020-12-18T15:18:20Z,2,3,4,3,4,4,6,3,2,1,3,3,6,4,7,7,1,5,1,1,3,1,NA,NA,NA,NA,0,0,100.345,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,-100,5,1,0,-25,1,1,1,1,2,3,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,10,1,10,1,7,7,1,1,1,1,1,7,NA,34,2,NA,4,2,NA,3,2,2,1,1,1,3,1,1,335197,BtB,100.345,4,2.3333333333333335,6,2,3.5,0,0,0,0,0,-1,-0.8333333333333334,-1,-0.9310344827586207,1,Democrat,Democrat,7,white,2,hs_less,male,male
