start_date,end_date,progress,duration_in_seconds,finished,recorded_date,idealism_community_dishonest_r,idealism_community_considerate,idealism_community_good,idealism_community_positive,idealism_community_right,idealism_community_included,idealism_elites_dishonest_r,idealism_elites_considerate,idealism_elites_good,idealism_elites_positive,idealism_elites_right,idealism_elites_included,idealism_police_dishonest_r,idealism_police_considerate,idealism_police_good,idealism_police_positive,idealism_police_right,idealism_police_included,q_104_first_click,q_104_last_click,q_104_page_submit,q_104_click_count,q_502_first_click,q_502_last_click,q_502_page_submit,q_502_click_count,elevation_want_to_help,elevation_feel_close,elevation_better_person,elevation_find_ways_to_help,elevation_warmth,elevation_lump,elevation_tears,elevation_goosebumps,elevation_uplifted,elevation_moved,elevation_touched,elevation_inspired,elevation_compassion,elevation_admiration,elevation_heartwarming,positive_affect_happy,positive_affect_entertained,positive_affect_amused,positive_affect_delighted,afraid_of_protestors,afraid_of_police,angry_at_protestors,angry_at_police,effectiveness_of_blm_post,blm_support_cause,blm_support_protests,police_funding,tactic_looting,tactic_burn_stations,tactic_loud_chants,tactic_block_traffic,tactic_gathering,tactic_kneeling,tactic_singing,tactic_silence,scope_climate_change,scope_immigration,scope_covid,scope_healthcare,scope_poverty,scope_other,ii_m_bombcities,ii_r_e_welfare,ii_e_taxcuts,ii_r_m_guncontrol,ii_m_militaryspending,ii_m_warantlesssearch,ii_r_e_pollutioncontrol,ii_r_e_foreignaid,ii_r_s_womenequality,ii_m_obedience,ii_r_m_enemycompromise,ii_m_nukes,ii_m_drones,ii_s_charterschools,ii_s_prayer,ii_r_m_pacifism,ii_r_e_socialism,ii_r_s_porn,ii_r_m_immigration,ii_s_deathpenalty,ii_m_waterboard,ii_r_s_premaritalsex,ii_r_s_gaymarriage,ii_r_s_abortion,ii_r_s_evolution,ii_m_patriotism,ii_s_bibletruth,ii_r_e_globalization,ii_e_smallgovernment,covid_experience_bored,covid_experience_frustrated,covid_experience_lonely,covid_experience_angry,covid_experience_happy_r,race,race_2,age,political_party,political_party_5_text,community_racial_com,gender,gender_4_text,catch_sky_color,household_income,education,direct_connection_bl,direct_connection_ra,direct_connection_po,direct_connection_el,catch_distractions,catch_video_stream,catch_honesty,random_id,condition,vid_time
2020-07-23T10:25:38Z,2020-07-23T10:31:46Z,100,368,1,2020-07-23T10:31:47Z,1,7,7,7,7,7,1,7,7,7,7,7,1,7,7,7,7,7,NA,NA,NA,NA,0,0,15.962,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,2,5,5,27,1,1,4,3,4,4,4,4,3,3,3,4,4,2,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,2,2,2,2,3,7,NA,55,2,NA,4,2,NA,3,4,5,1,1,1,1,3,2,1,408887,control,15.962
2020-07-23T10:26:40Z,2020-07-23T10:31:48Z,100,307,1,2020-07-23T10:31:48Z,4,4,3,5,6,3,4,4,5,3,3,3,6,3,5,4,6,5,NA,NA,NA,NA,0,0,2.701,0,0,-1,0,-1,1,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,4,4,3,62,4,3,3,3,4,4,3,4,2,2,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,7,NA,47,2,NA,4,2,NA,3,6,6,4,3,2,3,1,1,1,232644,control,2.701
2020-07-23T10:25:18Z,2020-07-23T10:31:55Z,100,397,1,2020-07-23T10:31:56Z,5,3,3,3,4,3,6,1,1,1,1,1,4,4,4,4,5,5,0,0,107.517,0,NA,NA,NA,NA,0,-1,-1,1,1,1,-1,1,1,-1,-1,1,2,1,1,1,1,1,1,1,-1,1,-1,3,2,2,1,1,1,6,1,1,6,6,6,1,1,1,1,3,1,1,1,1,-1,0,-1,1,-1,1,1,1,0,1,1,1,0,1,1,-1,0,1,-1,-1,1,-1,1,1,1,0,5,5,5,4,3,7,NA,27,0,NA,4,1,NA,3,4,5,2,2,2,1,3,1,1,631846,BLM,107.517
2020-07-23T10:26:28Z,2020-07-23T10:31:59Z,100,331,1,2020-07-23T10:31:59Z,5,6,6,6,6,5,6,5,6,6,5,5,6,5,5,5,6,6,0,0,55.216,0,NA,NA,NA,NA,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,4,4,3,81,4,4,3,3,4,4,3,4,4,3,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,7,NA,47,2,NA,1,1,NA,3,5,6,4,3,4,3,1,1,1,131455,BLM,55.216
2020-07-23T10:25:11Z,2020-07-23T10:32:03Z,100,411,1,2020-07-23T10:32:03Z,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,75.675,0,NA,NA,NA,NA,2,2,2,2,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,2,2,-1,5,5,5,100,1,1,1,1,1,1,6,1,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,7,NA,44,2,NA,1,2,NA,3,8,3,4,4,4,4,3,1,1,496490,BLM,75.675
2020-07-23T10:25:28Z,2020-07-23T10:32:14Z,100,405,1,2020-07-23T10:32:14Z,4,4,4,4,4,4,6,3,2,2,2,2,4,4,4,4,4,4,NA,NA,NA,NA,0,0,98.689,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,-50,1,1,4,2,4,6,6,6,1,1,1,1,4,3,-1,1,0,-1,0,-1,1,0,1,-1,0,-1,-1,-1,-1,-1,0,1,-1,1,-1,1,1,1,1,-1,-1,0,1,1,1,1,1,1,7,NA,43,0,NA,1,2,NA,3,2,2,3,3,2,1,3,1,1,295338,control,98.689
2020-07-23T10:25:54Z,2020-07-23T10:32:20Z,100,385,1,2020-07-23T10:32:20Z,5,4,7,6,6,6,5,3,4,3,3,4,5,2,4,3,4,3,NA,NA,NA,NA,0,0,98.959,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,1,1,4,5,-50,2,1,6,3,4,6,6,6,1,1,2,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,3,4,2,3,2,7,NA,27,2,NA,2,1,NA,3,8,3,2,3,1,1,3,1,1,463966,control,98.959
2020-07-23T10:25:37Z,2020-07-23T10:32:22Z,100,405,1,2020-07-23T10:32:22Z,2,6,7,6,7,6,2,6,6,7,6,6,1,7,6,7,7,7,NA,NA,NA,NA,0,0,100.918,0,-1,0,-1,-1,1,1,1,1,-1,-1,1,0,-1,1,-1,2,0,-1,0,1,1,1,1,1,2,2,25,1,1,2,1,1,2,4,6,1,2,2,2,1,1,1,0,1,-1,1,-1,1,-1,1,1,0,1,1,0,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,4,2,3,1,4,7,NA,29,1,NA,2,2,NA,3,11,5,2,1,1,3,3,1,1,785761,control,100.918
2020-07-23T10:26:40Z,2020-07-23T10:32:24Z,100,343,1,2020-07-23T10:32:24Z,1,7,7,7,7,7,1,7,6,7,6,6,1,7,7,7,7,7,NA,NA,NA,NA,6.445,48.977,100.253,2,-1,0,0,-1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,1,2,-1,1,2,1,2,1,1,1,1,1,6,1,1,1,6,6,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,1,-1,1,1,-1,0,1,3,4,4,5,3,7,NA,38,1,NA,4,2,NA,3,5,4,1,1,2,1,3,1,1,577586,control,100.253
2020-07-23T10:26:55Z,2020-07-23T10:32:26Z,100,331,1,2020-07-23T10:32:26Z,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,NA,NA,NA,NA,0,0,99.563,0,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,2,3,3,-48,2,2,4,4,4,4,4,4,2,2,2,2,3,3,0,1,0,-1,-1,-1,1,0,0,0,0,0,-1,0,0,1,1,-1,0,0,-1,-1,0,0,1,0,0,1,0,2,2,2,2,2,7,NA,26,0,NA,4,2,NA,3,5,5,2,2,2,2,3,1,1,368231,control,99.563
